,Date,High,Low,Close
14902,11/01/1984,1284.13,1267.59,1277.32
14903,12/01/1984,1287.9,1271.78,1279.31
14904,13/01/1984,1289.57,1262.98,1270.1
14905,16/01/1984,1275.96,1259.53,1267.59
14906,17/01/1984,1275.75,1260.89,1271.46
14907,18/01/1984,1280.36,1261.93,1269.37
14908,19/01/1984,1276.17,1259.32,1266.02
14909,20/01/1984,1270.94,1252.3,1259.11
14910,23/01/1984,1259.42,1240.05,1244.45
14911,24/01/1984,1251.57,1234.61,1242.88
14912,25/01/1984,1255.44,1227.39,1231.89
14913,26/01/1984,1242.57,1222.79,1229.69
14914,27/01/1984,1238.69,1218.91,1230.0
14915,30/01/1984,1239.64,1212.42,1221.52
14916,31/01/1984,1231.68,1209.59,1220.58
14917,01/02/1984,1226.34,1203.31,1212.31
14918,02/02/1984,1223.93,1198.49,1213.88
14919,03/02/1984,1226.55,1192.0,1197.03
14920,06/02/1984,1193.15,1167.92,1174.31
14921,07/02/1984,1187.29,1161.12,1180.49
14922,08/02/1984,1188.76,1151.28,1156.3
14923,09/02/1984,1167.29,1139.03,1152.74
14924,10/02/1984,1167.92,1149.92,1160.7
14925,13/02/1984,1164.05,1139.97,1150.13
14926,14/02/1984,1170.54,1147.09,1163.84
14927,15/02/1984,1175.67,1154.31,1158.71
14928,16/02/1984,1164.99,1143.74,1154.94
14929,17/02/1984,1164.36,1141.23,1148.87
14930,21/02/1984,1153.79,1134.0,1139.34
14931,22/02/1984,1145.83,1128.66,1134.21
14932,23/02/1984,1142.38,1114.95,1134.63
14933,24/02/1984,1167.09,1137.04,1165.1
14934,27/02/1984,1186.66,1156.41,1179.96
14935,28/02/1984,1177.45,1150.34,1157.14
14936,29/02/1984,1171.38,1146.46,1154.63
14937,01/03/1984,1166.46,1146.25,1159.44
14938,02/03/1984,1181.01,1163.21,1171.48
14939,05/03/1984,1174.31,1158.5,1165.2
14940,06/03/1984,1171.59,1148.24,1152.53
14941,07/03/1984,1153.27,1131.7,1143.63
14942,08/03/1984,1155.46,1136.1,1147.09
14943,09/03/1984,1149.29,1132.54,1139.76
14944,12/03/1984,1160.8,1136.52,1155.36
14945,13/03/1984,1176.51,1156.09,1164.78
14946,14/03/1984,1173.68,1155.67,1166.04
14947,15/03/1984,1177.24,1159.23,1167.4
14948,16/03/1984,1197.24,1176.19,1184.36
14949,19/03/1984,1179.02,1163.0,1171.38
14950,20/03/1984,1184.15,1166.25,1175.77
